06-25 08:56:28.734 16251 17420 W System.err: 	at org.kxml2.io.KXmlParser.peekType(KXmlParser.java:979)
06-25 08:56:28.734 16251 17420 W System.err: 	at org.kxml2.io.KXmlParser.next(KXmlParser.java:346)
06-25 08:56:28.734 16251 17420 W System.err: 	at org.kxml2.io.KXmlParser.next(KXmlParser.java:310)
06-25 08:56:28.734 16251 17420 W System.err: 	at org.jivesoftware.smack.PacketReader.parsePackets(PacketReader.java:321)
06-25 08:56:28.734 16251 17420 W System.err: 	at org.jivesoftware.smack.PacketReader.access$1(PacketReader.java:216)
06-25 08:56:28.734 16251 17420 W System.err: 	at org.jivesoftware.smack.PacketReader$1.run(PacketReader.java:70)
06-25 08:56:28.812   280 17423 I qtaguid : Failed write_ctrl(u 70) res=-1 errno=22
06-25 08:56:28.812   280 17423 I qtaguid : Untagging socket 70 failed errno=-22
06-25 08:56:28.812   280 17423 W NetworkManagementSocketTagger: untagSocket(70) failed with errno -22
06-25 08:56:29.222  1207  1207 I wpa_supplicant: wlan0: CTRL-EVENT-EAP-PEER-CERT depth=2 subject='/C=US/O=Entrust.net/OU=www.entrust.net/CPS incorp. by ref. (limits liab.)/OU=(c) 1999 Entrust.net Limited/CN=Entrust.net Secure Server Certification Authority'
06-25 08:56:29.226  1207  1207 D wpa_supplicant: TLS: tls_verify_cb - preverify_ok=1 err=19 (self signed certificate in certificate chain) ca_cert_verify=0 depth=2 buf='/C=US/O=Entrust.net/OU=www.entrust.net/CPS incorp. by ref. (limits liab.)/OU=(c) 1999 Entrust.net Limited/CN=Entrust.net Secure Server Certification Authority'
06-25 08:56:29.226  1207  1207 I wpa_supplicant: wlan0: CTRL-EVENT-EAP-PEER-CERT depth=2 subject='/C=US/O=Entrust.net/OU=www.entrust.net/CPS incorp. by ref. (limits liab.)/OU=(c) 1999 Entrust.net Limited/CN=Entrust.net Secure Server Certification Authority'
06-25 08:56:29.230  1207  1207 D wpa_supplicant: TLS: tls_verify_cb - preverify_ok=1 err=19 (self signed certificate in certificate chain) ca_cert_verify=0 depth=1 buf='/C=US/ST=UT/L=Salt Lake City/O=The USERTRUST Network/CN=USERTrust Legacy Secure Server CA'
06-25 08:56:29.230  1207  1207 I wpa_supplicant: wlan0: CTRL-EVENT-EAP-PEER-CERT depth=1 subject='/C=US/ST=UT/L=Salt Lake City/O=The USERTRUST Network/CN=USERTrust Legacy Secure Server CA'
06-25 08:56:29.230  1207  1207 D wpa_supplicant: TLS: tls_verify_cb - preverify_ok=1 err=19 (self signed certificate in certificate chain) ca_cert_verify=0 depth=0 buf='/C=US/postalCode=14260/ST=New York/L=Buffalo/street=305 Computing Center/O=SUNY AT BUFFALO/OU=Issued through UNIVERSITY AT BUFFALO E-PKI Manager/OU=Comodo PremiumSSL Legacy/CN=radius1.cit.buffalo.edu'
06-25 08:56:29.230  1207  1207 I wpa_supplicant: wlan0: CTRL-EVENT-EAP-PEER-CERT depth=0 subject='/C=US/postalCode=14260/ST=New York/L=Buffalo/street=305 Computing Center/O=SUNY AT BUFFALO/OU=Issued through UNIVERSITY AT BUFFALO E-PKI Manager/OU=Comodo PremiumSSL Legacy/CN=radius1.cit.buffalo.edu'
06-25 08:56:29.230  1207  1207 D wpa_supplicant: SSL: (where=0x1001 ret=0x1)
06-25 08:56:29.230  1207  1207 D wpa_supplicant: SSL: SSL_connect:SSLv3 read server certificate A
06-25 08:56:29.234  1207  1207 D wpa_supplicant: SSL: (where=0x1001 ret=0x1)
06-25 08:56:29.234  1207  1207 D wpa_supplicant: SSL: SSL_connect:SSLv3 read server key exchange A
06-25 08:56:29.234  1207  1207 D wpa_supplicant: SSL: (where=0x1001 ret=0x1)
06-25 08:56:29.234  1207  1207 D wpa_supplicant: SSL: SSL_connect:SSLv3 read server done A
06-25 08:56:29.242  1207  1207 D wpa_supplicant: SSL: (where=0x1001 ret=0x1)
06-25 08:56:29.242  1207  1207 D wpa_supplicant: SSL: SSL_connect:SSLv3 write client key exchange A
06-25 08:56:29.242  1207  1207 D wpa_supplicant: SSL: (where=0x1001 ret=0x1)
06-25 08:56:29.246  1207  1207 D wpa_supplicant: SSL: SSL_connect:SSLv3 write change cipher spec A
06-25 08:56:29.246  1207  1207 D wpa_supplicant: SSL: (where=0x1001 ret=0x1)
06-25 08:56:29.246  1207  1207 D wpa_supplicant: SSL: SSL_connect:SSLv3 write finished A
06-25 08:56:29.246  1207  1207 D wpa_supplicant: SSL: (where=0x1001 ret=0x1)
06-25 08:56:29.246  1207  1207 D wpa_supplicant: SSL: SSL_connect:SSLv3 flush data
06-25 08:56:29.246  1207  1207 D wpa_supplicant: SSL: (where=0x1002 ret=0xffffffff)
06-25 08:56:29.246  1207  1207 D wpa_supplicant: SSL: SSL_connect:error in SSLv3 read server session ticket A
06-25 08:56:29.246  1207  1207 D wpa_supplicant: SSL: SSL_connect - want more data
06-25 08:56:29.246  1207  1207 D wpa_supplicant: SSL: 134 bytes pending from ssl_out
06-25 08:56:29.246  1207  1207 D wpa_supplicant: SSL: 134 bytes left to be sent out (of total 134 bytes)
06-25 08:56:29.246  1207  1207 D wpa_supplicant: EAP: method process -> ignore=FALSE methodState=MAY_CONT decision=FAIL
06-25 08:56:29.246  1207  1207 D wpa_supplicant: EAP: EAP entering state SEND_RESPONSE
06-25 08:56:29.246  1207  1207 D wpa_supplicant: EAP: EAP entering state IDLE
06-25 08:56:29.246  1207  1207 D wpa_supplicant: EAPOL: SUPP_BE entering state RESPONSE
06-25 08:56:29.246  1207  1207 D wpa_supplicant: EAPOL: txSuppRsp
06-25 08:56:29.246  1207  1207 D wpa_supplicant: TX EAPOL: dst=d0:c2:82:7e:30:a0
06-25 08:56:29.246  1207  1207 D wpa_supplicant: EAPOL: SUPP_BE entering state RECEIVE
06-25 08:56:29.250  1207  1207 D wpa_supplicant: EAPOL: Received EAP-Packet frame
06-25 08:56:29.250  1207  1207 D wpa_supplicant: EAPOL: SUPP_BE entering state REQUEST
06-25 08:56:29.250  1207  1207 D wpa_supplicant: EAPOL: getSuppRsp
06-25 08:56:29.250  1207  1207 D wpa_supplicant: EAP: EAP entering state RECEIVED
06-25 08:56:29.250  1207  1207 D wpa_supplicant: EAP: Received EAP-Request id=9 method=25 vendor=0 vendorMethod=0
06-25 08:56:29.250  1207  1207 D wpa_supplicant: EAP: EAP entering state METHOD
06-25 08:56:29.250  1207  1207 D wpa_supplicant: SSL: Received packet(len=240) - Flags 0x00
06-25 08:56:29.250  1207  1207 D wpa_supplicant: SSL: (where=0x1001 ret=0x1)
06-25 08:56:29.250  1207  1207 D wpa_supplicant: SSL: SSL_connect:SSLv3 read server session ticket A
06-25 08:56:29.250  1207  1207 D wpa_supplicant: SSL: (where=0x1001 ret=0x1)
06-25 08:56:29.250  1207  1207 D wpa_supplicant: SSL: SSL_connect:SSLv3 read finished A
06-25 08:56:29.250  1207  1207 D wpa_supplicant: SSL: (where=0x20 ret=0x1)
06-25 08:56:29.250  1207  1207 D wpa_supplicant: SSL: (where=0x1002 ret=0x1)
06-25 08:56:29.250  1207  1207 D wpa_supplicant: SSL: 0 bytes pending from ssl_out
06-25 08:56:29.250  1207  1207 D wpa_supplicant: SSL: No Application Data included
06-25 08:56:29.250  1207  1207 D wpa_supplicant: SSL: No data to be sent out
06-25 08:56:29.250  1207  1207 D wpa_supplicant: EAP-PEAP: TLS done, proceed to Phase 2
06-25 08:56:29.250  1207  1207 D wpa_supplicant: EAP-PEAP: using label 'client EAP encryption' in key derivation
06-25 08:56:29.250  1207  1207 D wpa_supplicant: SSL: Building ACK (type=25 id=9 ver=0)
06-25 08:56:29.250  1207  1207 D wpa_supplicant: EAP: method process -> ignore=FALSE methodState=MAY_CONT decision=FAIL
