06-19 14:05:56.963  9586 10390 D PicasaSyncManager: sync complete: SyncResult: stats []
06-19 14:06:35.776   328   328 D SAN_SERVICE: DM App Phone Service State - 0
06-19 14:06:35.776   328   328 D SAN_SERVICE: *******************************************
06-19 14:06:51.151   328   328 D SAN_SERVICE: *******************************************
06-19 14:06:51.151   328   328 D SAN_SERVICE: DM App Phone Service State - 0
06-19 14:06:51.151   328   328 D SAN_SERVICE: *******************************************
06-19 14:07:15.108   328   328 D SAN_SERVICE: *******************************************
06-19 14:07:15.108   328   328 D SAN_SERVICE: DM App Phone Service State - 0
06-19 14:07:15.108   328   328 D SAN_SERVICE: *******************************************
06-19 14:07:15.397   328   328 D SAN_SERVICE: *******************************************
06-19 14:07:15.397   328   328 D SAN_SERVICE: DM App Phone Service State - 0
06-19 14:07:15.397   328   328 D SAN_SERVICE: *******************************************
06-19 14:08:11.436   328   328 D SAN_SERVICE: *******************************************
06-19 14:08:11.436   328   328 D SAN_SERVICE: DM App Phone Service State - 0
06-19 14:08:11.440   328   328 D SAN_SERVICE: *******************************************
06-19 14:08:11.713   328   328 D SAN_SERVICE: *******************************************
06-19 14:08:11.713   328   328 D SAN_SERVICE: DM App Phone Service State - 0
06-19 14:08:11.713   328   328 D SAN_SERVICE: *******************************************
06-19 14:08:12.463   328   328 D SAN_SERVICE: *******************************************
06-19 14:08:12.467   328   328 D SAN_SERVICE: DM App Phone Service State - 0
06-19 14:08:12.467   328   328 D SAN_SERVICE: *******************************************
06-19 14:08:15.217  8632  8645 I PhoneLab-: Service Running
06-19 14:08:15.299  8632  8635 D dalvikvm: GC_CONCURRENT freed 896K, 18% free 9234K/11207K, paused 2ms+2ms
06-19 14:08:15.303  8632  8645 I PhoneLab-LoggerService: app_38    1071  1     868    428   c00f181c 400107b4 S logcat
06-19 14:08:15.303  8632  8645 I PhoneLab-LoggerService: Logcat pid from database 1071
06-19 14:08:15.303  8632  8645 I PhoneLab-LoggerService: Logcat process found 1071
06-19 14:08:15.303  8632  8645 I PhoneLab-LoggerService: Checking Threshold
06-19 14:08:15.307  8632  8645 I PhoneLab-LoggerService: Starting to rename files
06-19 14:08:15.311  8632  8645 I PhoneLab-LoggerService: Files found .. 2
06-19 14:08:21.678   328   328 D SAN_SERVICE: *******************************************
06-19 14:08:21.678   328   328 D SAN_SERVICE: DM App Phone Service State - 0
06-19 14:08:21.678   328   328 D SAN_SERVICE: *******************************************
06-19 14:08:21.959   328   328 D SAN_SERVICE: *******************************************
06-19 14:08:21.959   328   328 D SAN_SERVICE: DM App Phone Service State - 0
06-19 14:08:21.959   328   328 D SAN_SERVICE: *******************************************
06-19 14:08:22.705   328   328 D SAN_SERVICE: *******************************************
06-19 14:08:22.705   328   328 D SAN_SERVICE: DM App Phone Service State - 0
06-19 14:08:22.705   328   328 D SAN_SERVICE: *******************************************
06-19 14:09:02.869   328   328 D SAN_SERVICE: *******************************************
06-19 14:09:02.869   328   328 D SAN_SERVICE: DM App Phone Service State - 0
06-19 14:09:02.869   328   328 D SAN_SERVICE: *******************************************
06-19 14:09:03.170   328   328 D SAN_SERVICE: *******************************************
06-19 14:09:03.170   328   328 D SAN_SERVICE: DM App Phone Service State - 0
06-19 14:09:03.170   328   328 D SAN_SERVICE: *******************************************
06-19 14:09:18.002   328   328 D SAN_SERVICE: *******************************************
06-19 14:09:18.006   328   328 D SAN_SERVICE: DM App Phone Service State - 0
06-19 14:09:18.006   328   328 D SAN_SERVICE: *******************************************
06-19 14:09:18.784   328   328 D SAN_SERVICE: *******************************************
06-19 14:09:18.784   328   328 D SAN_SERVICE: DM App Phone Service State - 0
06-19 14:09:18.784   328   328 D SAN_SERVICE: *******************************************
06-19 14:09:48.709   328   328 D SAN_SERVICE: *******************************************
06-19 14:09:48.709   328   328 D SAN_SERVICE: DM App Phone Service State - 0
06-19 14:09:48.713   328   328 D SAN_SERVICE: *******************************************
06-19 14:09:48.991   328   328 D SAN_SERVICE: *******************************************
06-19 14:09:48.991   328   328 D SAN_SERVICE: DM App Phone Service State - 0
06-19 14:09:48.994   328   328 D SAN_SERVICE: *******************************************
06-19 14:09:49.248   328   328 D SAN_SERVICE: *******************************************
06-19 14:09:49.248   328   328 D SAN_SERVICE: DM App Phone Service State - 0
06-19 14:09:49.248   328   328 D SAN_SERVICE: *******************************************
06-19 14:10:15.217  8632  8645 I PhoneLab-: Service Running
06-19 14:10:15.319  8632  8645 I PhoneLab-LoggerService: app_38    1071  1     868    428   c00f181c 400107b4 S logcat
06-19 14:10:15.319  8632  8645 I PhoneLab-LoggerService: Logcat pid from database 1071
06-19 14:10:15.319  8632  8645 I PhoneLab-LoggerService: Logcat process found 1071
06-19 14:10:15.319  8632  8645 I PhoneLab-LoggerService: Checking Threshold
06-19 14:10:15.319  8632  8645 I PhoneLab-LoggerService: Starting to rename files
06-19 14:10:15.319  8632  8645 I PhoneLab-LoggerService: Files found .. 2
06-19 14:10:19.678   328   328 D SAN_SERVICE: *******************************************
06-19 14:10:19.678   328   328 D SAN_SERVICE: DM App Phone Service State - 0
06-19 14:10:19.678   328   328 D SAN_SERVICE: *******************************************
06-19 14:10:20.170   328   328 D SAN_SERVICE: *******************************************
06-19 14:10:20.170   328   328 D SAN_SERVICE: DM App Phone Service State - 0
06-19 14:10:20.170   328   328 D SAN_SERVICE: *******************************************
06-19 14:10:29.686   328   328 D SAN_SERVICE: *******************************************
06-19 14:10:29.686   328   328 D SAN_SERVICE: DM App Phone Service State - 0
06-19 14:10:29.686   328   328 D SAN_SERVICE: *******************************************
06-19 14:10:29.717 10099 10101 D dalvikvm: GC_CONCURRENT freed 399K, 5% free 10350K/10887K, paused 5ms+3ms
06-19 14:11:10.877   328   328 D SAN_SERVICE: *******************************************
06-19 14:11:10.877   328   328 D SAN_SERVICE: DM App Phone Service State - 0
06-19 14:11:10.877   328   328 D SAN_SERVICE: *******************************************
06-19 14:11:11.373   328   328 D SAN_SERVICE: *******************************************
06-19 14:11:11.373   328   328 D SAN_SERVICE: DM App Phone Service State - 0
06-19 14:11:11.373   328   328 D SAN_SERVICE: *******************************************
06-19 14:11:19.385   142  4671 D AlarmManagerService: Kernel timezone updated to 240 minutes west of GMT
06-19 14:11:19.385   328   328 D SystemClock: Setting time of day to sec=1340129479
06-19 14:11:19.085  9669  9694 V AlarmClock: AlarmInitReceiver finished
06-19 14:11:19.202   142   361 D dalvikvm: GC_EXPLICIT freed 1223K, 23% free 15469K/20039K, paused 3ms+7ms
06-19 14:11:19.256   328   328 D SAN_SERVICE: *******************************************
06-19 14:11:19.256   328   328 D SAN_SERVICE: DM App Phone Service State - 0
06-19 14:11:19.256   328   328 D SAN_SERVICE: *******************************************
06-19 14:11:20.057   328   328 D SAN_SERVICE: *******************************************
06-19 14:11:20.057   328   328 D SAN_SERVICE: DM App Phone Service State - 0
06-19 14:11:20.057   328   328 D SAN_SERVICE: *******************************************
06-19 14:11:29.026   142   325 D AlarmManagerService: Kernel timezone updated to 240 minutes west of GMT
06-19 14:11:29.038   328   331 D dalvikvm: GC_CONCURRENT freed 452K, 6% free 9465K/10055K, paused 13ms+2ms
06-19 14:12:06.952   328   328 D SAN_SERVICE: *******************************************
06-19 14:12:06.952   328   328 D SAN_SERVICE: DM App Phone Service State - 0
06-19 14:12:06.952   328   328 D SAN_SERVICE: *******************************************
06-19 14:12:11.956   328   328 D SAN_SERVICE: *******************************************
06-19 14:12:11.956   328   328 D SAN_SERVICE: DM App Phone Service State - 0
06-19 14:12:11.960   328   328 D SAN_SERVICE: *******************************************
06-19 14:12:12.245   328   328 D SAN_SERVICE: *******************************************
06-19 14:12:12.245   328   328 D SAN_SERVICE: DM App Phone Service State - 0
06-19 14:12:12.249   328   328 D SAN_SERVICE: *******************************************
06-19 14:12:12.733   328   328 D SAN_SERVICE: *******************************************
06-19 14:12:12.733   328   328 D SAN_SERVICE: DM App Phone Service State - 0
06-19 14:12:12.733   328   328 D SAN_SERVICE: *******************************************
06-19 14:12:15.217  8632  8645 I PhoneLab-: Service Running
06-19 14:12:15.284  8632  8645 I PhoneLab-LoggerService: app_38    1071  1     868    428   c00f181c 400107b4 S logcat
06-19 14:12:15.284  8632  8645 I PhoneLab-LoggerService: Logcat pid from database 1071
06-19 14:12:15.284  8632  8645 I PhoneLab-LoggerService: Logcat process found 1071
06-19 14:12:15.284  8632  8645 I PhoneLab-LoggerService: Checking Threshold
06-19 14:12:15.284  8632  8645 I PhoneLab-LoggerService: Starting to rename files
06-19 14:12:15.284  8632  8645 I PhoneLab-LoggerService: Files found .. 2
06-19 14:12:17.088   328   328 D SAN_SERVICE: *******************************************
06-19 14:12:17.088   328   328 D SAN_SERVICE: DM App Phone Service State - 0
06-19 14:12:17.088   328   328 D SAN_SERVICE: *******************************************
06-19 14:12:17.346   328   328 D SAN_SERVICE: *******************************************
06-19 14:12:17.346   328   328 D SAN_SERVICE: DM App Phone Service State - 0
06-19 14:12:17.346   328   328 D SAN_SERVICE: *******************************************
06-19 14:12:18.139   328   328 D SAN_SERVICE: *******************************************
06-19 14:12:18.139   328   328 D SAN_SERVICE: DM App Phone Service State - 0
06-19 14:12:18.139   328   328 D SAN_SERVICE: *******************************************
06-19 14:12:23.624   328   328 D SAN_SERVICE: *******************************************
06-19 14:12:23.624   328   328 D SAN_SERVICE: DM App Phone Service State - 0
06-19 14:12:23.624   328   328 D SAN_SERVICE: *******************************************
06-19 14:12:58.135   328   328 D SAN_SERVICE: *******************************************
06-19 14:12:58.139   328   328 D SAN_SERVICE: DM App Phone Service State - 0
06-19 14:12:58.139   328   328 D SAN_SERVICE: *******************************************
06-19 14:13:03.171   328   328 D SAN_SERVICE: *******************************************
06-19 14:13:03.171   328   328 D SAN_SERVICE: DM App Phone Service State - 0
06-19 14:13:03.171   328   328 D SAN_SERVICE: *******************************************
06-19 14:13:09.303   328   328 D SAN_SERVICE: *******************************************
06-19 14:13:09.303   328   328 D SAN_SERVICE: DM App Phone Service State - 0
06-19 14:13:09.303   328   328 D SAN_SERVICE: *******************************************
06-19 14:13:09.655   328   328 D SAN_SERVICE: *******************************************
06-19 14:13:09.655   328   328 D SAN_SERVICE: DM App Phone Service State - 0
06-19 14:13:09.655   328   328 D SAN_SERVICE: *******************************************
06-19 14:14:04.378   328   328 D SAN_SERVICE: *******************************************
06-19 14:14:04.378   328   328 D SAN_SERVICE: DM App Phone Service State - 0
06-19 14:14:04.378   328   328 D SAN_SERVICE: *******************************************
06-19 14:14:04.659   328   328 D SAN_SERVICE: *******************************************
06-19 14:14:04.659   328   328 D SAN_SERVICE: DM App Phone Service State - 0
06-19 14:14:04.659   328   328 D SAN_SERVICE: *******************************************
06-19 14:14:09.784   328   328 D SAN_SERVICE: *******************************************
06-19 14:14:09.788   328   328 D SAN_SERVICE: DM App Phone Service State - 0
06-19 14:14:09.788   328   328 D SAN_SERVICE: *******************************************
06-19 14:14:14.862   328   328 D SAN_SERVICE: *******************************************
06-19 14:14:14.862   328   328 D SAN_SERVICE: DM App Phone Service State - 0
06-19 14:14:14.862   328   328 D SAN_SERVICE: *******************************************
06-19 14:14:15.217  8632  8645 I PhoneLab-: Service Running
06-19 14:14:15.284  8632  8645 I PhoneLab-LoggerService: app_38    1071  1     868    428   c00f181c 400107b4 S logcat
06-19 14:14:15.284  8632  8645 I PhoneLab-LoggerService: Logcat pid from database 1071
06-19 14:14:15.284  8632  8645 I PhoneLab-LoggerService: Logcat process found 1071
06-19 14:14:15.284  8632  8645 I PhoneLab-LoggerService: Checking Threshold
06-19 14:14:15.284  8632  8645 I PhoneLab-LoggerService: Starting to rename files
06-19 14:14:15.284  8632  8645 I PhoneLab-LoggerService: Files found .. 2
06-19 14:14:15.315   328   328 D SAN_SERVICE: *******************************************
06-19 14:14:15.315   328   328 D SAN_SERVICE: DM App Phone Service State - 0
06-19 14:14:15.315   328   328 D SAN_SERVICE: *******************************************
06-19 14:14:15.901   328   328 D SAN_SERVICE: *******************************************
06-19 14:14:15.901   328   328 D SAN_SERVICE: DM App Phone Service State - 0
06-19 14:14:15.901   328   328 D SAN_SERVICE: *******************************************
06-19 14:14:25.116   328   328 D SAN_SERVICE: *******************************************
06-19 14:14:25.116   328   328 D SAN_SERVICE: DM App Phone Service State - 0
06-19 14:14:25.116   328   328 D SAN_SERVICE: *******************************************
06-19 14:14:25.276   328   328 D SAN_SERVICE: *******************************************
06-19 14:14:25.280   328   328 D SAN_SERVICE: DM App Phone Service State - 0
06-19 14:14:25.280   328   328 D SAN_SERVICE: *******************************************
06-19 14:14:52.456   328   328 D SAN_SERVICE: *******************************************
06-19 14:14:52.456   328   328 D SAN_SERVICE: DM App Phone Service State - 0
06-19 14:14:52.460   328   328 D SAN_SERVICE: *******************************************
06-19 14:14:59.542  8632  8632 I PhoneLab-Locks: wake lock acquired
06-19 14:14:59.557  8632  8632 I PhoneLab-StatusMonitor: Status Monitoring is started
06-19 14:14:59.620  8632  8635 D dalvikvm: GC_CONCURRENT freed 502K, 18% free 9243K/11207K, paused 2ms+4ms
06-19 14:14:59.628   328   331 D dalvikvm: GC_CONCURRENT freed 386K, 6% free 9463K/10055K, paused 2ms+6ms
06-19 14:14:59.643  8632  8632 I PhoneLab-StatusMonitor: Value: 10 - unit: min
06-19 14:14:59.643  8632  8632 I PhoneLab-StatusMonitor: Running interval: 600000
06-19 14:14:59.651  8632  8632 I PhoneLab-StatusMonitor: Rescheduling status monitoring...
06-19 14:14:59.651  8632  8632 I PhoneLab-Locks: wake lock released
06-19 14:14:59.655  8632  8632 I PhoneLab-StatusMonitorLocation: Learning Location
06-19 14:14:59.655  8632  8632 I PhoneLab-Locks: wake lock acquired
06-19 14:14:59.655  8632  8632 I PhoneLab-Locks: wake lock acquired
06-19 14:14:59.659  8710  8794 D androidNetworkLocationListeners: Still have listener com.google.android.location.internal.client.NetworkLocationClient$1@41373fe8
06-19 14:14:59.659  8632  8632 I PhoneLab-StatusMonitorLocation: Learning Signal Strgth
06-19 14:14:59.659  8632  8632 I PhoneLab-Locks: wake lock acquired
06-19 14:14:59.667  8710  8794 D androidNetworkLocationListeners: Still have listener com.google.android.location.internal.client.NetworkLocationClient$1@41373fe8
06-19 14:14:59.671  8632  8632 I PhoneLab-StatusMonitorBattery: Battery_level: 46
06-19 14:14:59.674  8632  8632 I PhoneLab-Locks: wake lock released
06-19 14:14:59.678  8632  8632 I PhoneLab-StatusMonitorSignal: Signal_Strength: -106 asu: 4
06-19 14:14:59.678  8632  8632 I PhoneLab-Locks: wake lock released
06-19 14:15:00.909  8710  8801 I WifiLocationEstimator: Not returning location for the following outliers: [239855706501001]
06-19 14:15:00.987  8632  8632 I PhoneLab-StatusMonitorLocation: Location_Latitude: 43.002129 Longitude: -78.7871395 Accuracy: 45.0
06-19 14:15:00.987  8710  8794 D androidNetworkLocationListeners: Still have listener com.google.android.location.internal.client.NetworkLocationClient$1@41373fe8
06-19 14:15:00.991  8632  8632 I PhoneLab-Locks: wake lock released
06-19 14:15:01.018  8710  8712 D dalvikvm: GC_CONCURRENT freed 464K, 6% free 10489K/11143K, paused 2ms+2ms
06-19 14:15:01.944   328   328 D SAN_SERVICE: *******************************************
06-19 14:15:01.944   328   328 D SAN_SERVICE: DM App Phone Service State - 0
06-19 14:15:01.944   328   328 D SAN_SERVICE: *******************************************
06-19 14:15:02.245  8710  8801 I WifiLocationEstimator: Not returning location for the following outliers: [239855706501001]
06-19 14:15:02.440   328   328 D SAN_SERVICE: *******************************************
06-19 14:15:02.440   328   328 D SAN_SERVICE: DM App Phone Service State - 0
06-19 14:15:02.440   328   328 D SAN_SERVICE: *******************************************
06-19 14:15:02.823   328   328 D SAN_SERVICE: *******************************************
06-19 14:15:02.823   328   328 D SAN_SERVICE: DM App Phone Service State - 0
06-19 14:15:02.823   328   328 D SAN_SERVICE: *******************************************
06-19 14:15:11.178   328   328 D SAN_SERVICE: *******************************************
06-19 14:15:11.178   328   328 D SAN_SERVICE: DM App Phone Service State - 0
06-19 14:15:11.178   328   328 D SAN_SERVICE: *******************************************
06-19 14:15:11.260   328   328 D SAN_SERVICE: *******************************************
06-19 14:15:11.260   328   328 D SAN_SERVICE: DM App Phone Service State - 0
06-19 14:15:11.260   328   328 D SAN_SERVICE: *******************************************
06-19 14:15:26.296   328   328 D SAN_SERVICE: *******************************************
06-19 14:15:26.296   328   328 D SAN_SERVICE: DM App Phone Service State - 0
06-19 14:15:26.296   328   328 D SAN_SERVICE: *******************************************
06-19 14:16:12.409   328   328 D SAN_SERVICE: *******************************************
06-19 14:16:12.409   328   328 D SAN_SERVICE: DM App Phone Service State - 0
06-19 14:16:12.409   328   328 D SAN_SERVICE: *******************************************
06-19 14:16:12.659   328   328 D SAN_SERVICE: *******************************************
06-19 14:16:12.659   328   328 D SAN_SERVICE: DM App Phone Service State - 0
06-19 14:16:12.659   328   328 D SAN_SERVICE: *******************************************
06-19 14:16:15.217  8632  8645 I PhoneLab-: Service Running
06-19 14:16:15.288  8632  8645 I PhoneLab-LoggerService: app_38    1071  1     868    428   c00f181c 400107b4 S logcat
06-19 14:16:15.288  8632  8645 I PhoneLab-LoggerService: Logcat pid from database 1071
06-19 14:16:15.288  8632  8645 I PhoneLab-LoggerService: Logcat process found 1071
06-19 14:16:15.288  8632  8645 I PhoneLab-LoggerService: Checking Threshold
06-19 14:16:15.288  8632  8645 I PhoneLab-LoggerService: Starting to rename files
06-19 14:16:15.288  8632  8645 I PhoneLab-LoggerService: Files found .. 2
06-19 14:16:22.628   328   328 D SAN_SERVICE: *******************************************
06-19 14:16:22.628   328   328 D SAN_SERVICE: DM App Phone Service State - 0
06-19 14:16:22.628   328   328 D SAN_SERVICE: *******************************************
06-19 14:16:28.022   328   328 D SAN_SERVICE: *******************************************
06-19 14:16:28.022   328   328 D SAN_SERVICE: DM App Phone Service State - 0
06-19 14:16:28.022   328   328 D SAN_SERVICE: *******************************************
06-19 14:16:28.221   328   328 D SAN_SERVICE: *******************************************
06-19 14:16:28.221   328   328 D SAN_SERVICE: DM App Phone Service State - 0
06-19 14:16:28.221   328   328 D SAN_SERVICE: *******************************************
06-19 14:16:28.268   328   328 D SAN_SERVICE: *******************************************
06-19 14:16:28.268   328   328 D SAN_SERVICE: DM App Phone Service State - 0
06-19 14:16:28.268   328   328 D SAN_SERVICE: *******************************************
06-19 14:16:29.026   328   328 D SAN_SERVICE: *******************************************
06-19 14:16:29.026   328   328 D SAN_SERVICE: DM App Phone Service State - 0
06-19 14:16:29.026   328   328 D SAN_SERVICE: *******************************************
06-19 14:17:05.124   142  4671 D AlarmManagerService: Kernel timezone updated to 240 minutes west of GMT
06-19 14:17:05.671   328   328 D SAN_SERVICE: *******************************************
06-19 14:17:05.671   328   328 D SAN_SERVICE: DM App Phone Service State - 0
06-19 14:17:05.671   328   328 D SAN_SERVICE: *******************************************
06-19 14:17:05.878   328   328 D SAN_SERVICE: *******************************************
06-19 14:17:05.878   328   328 D SAN_SERVICE: DM App Phone Service State - 0
06-19 14:17:05.878   328   328 D SAN_SERVICE: *******************************************
06-19 14:17:13.292   328   328 D SAN_SERVICE: *******************************************
06-19 14:17:13.292   328   328 D SAN_SERVICE: DM App Phone Service State - 0
06-19 14:17:13.292   328   328 D SAN_SERVICE: *******************************************
06-19 14:17:16.624   328   328 D SAN_SERVICE: *******************************************
06-19 14:17:16.624   328   328 D SAN_SERVICE: DM App Phone Service State - 0
06-19 14:17:16.624   328   328 D SAN_SERVICE: *******************************************
06-19 14:17:17.167   328   328 D SAN_SERVICE: *******************************************
06-19 14:17:17.167   328   328 D SAN_SERVICE: DM App Phone Service State - 0
06-19 14:17:17.167   328   328 D SAN_SERVICE: *******************************************
06-19 14:17:19.245   328   328 D SAN_SERVICE: *******************************************
06-19 14:17:19.245   328   328 D SAN_SERVICE: DM App Phone Service State - 0
06-19 14:17:19.245   328   328 D SAN_SERVICE: *******************************************
06-19 14:17:21.995   328   328 D SAN_SERVICE: *******************************************
06-19 14:17:21.995   328   328 D SAN_SERVICE: DM App Phone Service State - 0
06-19 14:17:21.995   328   328 D SAN_SERVICE: *******************************************
06-19 14:17:22.186   328   328 D SAN_SERVICE: *******************************************
06-19 14:17:22.186   328   328 D SAN_SERVICE: DM App Phone Service State - 0
06-19 14:17:22.186   328   328 D SAN_SERVICE: *******************************************
06-19 14:17:22.202   328   331 D dalvikvm: GC_CONCURRENT freed 385K, 6% free 9465K/10055K, paused 15ms+2ms
06-19 14:17:39.421   142   361 D AlarmManagerService: Kernel timezone updated to 240 minutes west of GMT
06-19 14:17:41.061   328   328 D SAN_SERVICE: *******************************************
06-19 14:17:41.061   328   328 D SAN_SERVICE: DM App Phone Service State - 0
06-19 14:17:41.061   328   328 D SAN_SERVICE: *******************************************
06-19 14:17:41.842   328   328 D SAN_SERVICE: *******************************************
06-19 14:17:41.842   328   328 D SAN_SERVICE: DM App Phone Service State - 0
06-19 14:17:41.842   328   328 D SAN_SERVICE: *******************************************
06-19 14:17:44.815   328   328 D SAN_SERVICE: *******************************************
06-19 14:17:44.815   328   328 D SAN_SERVICE: DM App Phone Service State - 0
06-19 14:17:44.815   328   328 D SAN_SERVICE: *******************************************
06-19 14:17:55.034   328   328 D SAN_SERVICE: *******************************************
06-19 14:17:55.034   328   328 D SAN_SERVICE: DM App Phone Service State - 0
06-19 14:17:55.034   328   328 D SAN_SERVICE: *******************************************
06-19 14:17:55.272   328   328 D SAN_SERVICE: *******************************************
06-19 14:17:55.272   328   328 D SAN_SERVICE: DM App Phone Service State - 0
06-19 14:17:55.272   328   328 D SAN_SERVICE: *******************************************
06-19 14:17:56.073   328   328 D SAN_SERVICE: *******************************************
06-19 14:17:56.073   328   328 D SAN_SERVICE: DM App Phone Service State - 0
06-19 14:17:56.073   328   328 D SAN_SERVICE: *******************************************
06-19 14:18:06.651   328   328 D SAN_SERVICE: *******************************************
06-19 14:18:06.651   328   328 D SAN_SERVICE: DM App Phone Service State - 0
06-19 14:18:06.651   328   328 D SAN_SERVICE: *******************************************
06-19 14:18:06.944   328   328 D SAN_SERVICE: *******************************************
06-19 14:18:06.944   328   328 D SAN_SERVICE: DM App Phone Service State - 0
06-19 14:18:06.944   328   328 D SAN_SERVICE: *******************************************
06-19 14:18:15.217  8632  8645 I PhoneLab-: Service Running
06-19 14:18:15.288  8632  8645 I PhoneLab-LoggerService: app_38    1071  1     868    428   c00f181c 400107b4 S logcat
06-19 14:18:15.288  8632  8645 I PhoneLab-LoggerService: Logcat pid from database 1071
06-19 14:18:15.288  8632  8645 I PhoneLab-LoggerService: Logcat process found 1071
06-19 14:18:15.288  8632  8645 I PhoneLab-LoggerService: Checking Threshold
06-19 14:18:15.288  8632  8645 I PhoneLab-LoggerService: Starting to rename files
06-19 14:18:15.288  8632  8645 I PhoneLab-LoggerService: Files found .. 2
06-19 14:18:19.631   304   304 I wpa_supplicant: wlan0: CTRL-EVENT-DISCONNECTED bssid=d0:c2:82:66:6b:f0 reason=0
06-19 14:18:19.643    75   113 D CommandListener: Clearing all IP addresses on wlan0
06-19 14:18:19.698   142   199 D ConnectivityService: ConnectivityChange for WIFI: DISCONNECTED/DISCONNECTED
06-19 14:18:19.702   142   199 D ConnectivityService: Attempting to switch to mobile
06-19 14:18:19.702   142   199 D ConnectivityService: Attempting to switch to WIMAX
06-19 14:18:19.702   142   199 D ConnectivityService: Attempting to switch to BLUETOOTH_TETHER
06-19 14:18:19.733   142   199 E ConnectivityService: Exception trying to remove a route: java.lang.IllegalStateException: Unable to communicate with native dameon to add routes - com.android.server.NativeDaemonConnectorException: Cmd {interface route remove wlan0 default 67.20.215.254 32 0.0.0.0} failed with code 400 : {Failed to remove route from default table (No such process)}
06-19 14:18:19.737   142   199 D NetUtils: android_net_utils_resetConnections in env=0x162cc50 clazz=0x9af00001 iface=wlan0 mask=0x3
06-19 14:18:19.737   142   199 E ConnectivityService: Exception trying to remove a route: java.lang.IllegalStateException: Unable to communicate with native dameon to add routes - com.android.server.NativeDaemonConnectorException: Cmd {interface route remove wlan0 default 0.0.0.0 0 67.20.215.254} failed with code 400 : {Failed to remove route from default table (No such process)}
06-19 14:18:19.737   142   199 D ConnectivityService: resetConnections(wlan0, 3)
06-19 14:18:19.792  8710 10399 W Smack/Packet: notify conn break (IOEx), close connection
06-19 14:18:19.952  8710 10399 I qtaguid : Failed write_ctrl(u 22) res=-1 errno=22
06-19 14:18:19.952  8710 10399 I qtaguid : Untagging socket 22 failed errno=-22
06-19 14:18:19.956  8710 10399 W NetworkManagementSocketTagger: untagSocket(22) failed with errno -22
06-19 14:18:19.979   142   199 D ConnectivityService: handleInetConditionChange: no active default network - ignore
06-19 14:18:20.225   304   304 I wpa_supplicant: wlan0: Trying to associate with d0:c2:82:84:8d:50 (SSID='UB_Secure' freq=2462 MHz)
06-19 14:18:22.760   142   203 D Tethering: MasterInitialState.processMessage what=3
06-19 14:18:22.842  9586  9600 D PicasaSyncManager: active network: null
06-19 14:18:22.842  9586  9600 D PicasaSyncManager: background data: true
06-19 14:18:22.850  9606  9606 I MediaUploader: No need to wake up
