04-23 21:51:16.148 19618 19620 D dalvikvm: GC_CONCURRENT freed 423K, 10% free 9891K/10951K, paused 2ms+2ms
04-23 21:51:16.215 19618 19620 D dalvikvm: GC_CONCURRENT freed 392K, 10% free 9923K/10951K, paused 3ms+2ms
04-23 21:51:16.258 19618 19620 D dalvikvm: GC_CONCURRENT freed 351K, 9% free 10050K/10951K, paused 2ms+4ms
04-23 21:51:16.289 19618  7860 D dalvikvm: GC_FOR_ALLOC freed 472K, 10% free 9958K/10951K, paused 16ms
04-23 21:51:16.340 19618 19620 D dalvikvm: GC_CONCURRENT freed 274K, 8% free 10131K/10951K, paused 2ms+2ms
04-23 21:51:16.582 19618  7860 D dalvikvm: GC_EXPLICIT freed 337K, 10% free 9943K/10951K, paused 2ms+3ms
04-23 21:57:44.012  4972  4985 I PhoneLab-: Service Running
04-23 21:57:44.058  4972  4985 I PhoneLab-LoggerService: app_34    1153  1     1444   1008  c00f1758 400c6794 S logcat
04-23 21:57:44.062  4972  4985 I PhoneLab-LoggerService: Logcat pid from database 1153
04-23 21:57:44.062  4972  4985 I PhoneLab-LoggerService: Logcat process found 1153
04-23 21:57:44.062  4972  4985 I PhoneLab-LoggerService: Checking Threshold
04-23 21:59:44.012  4972  4985 I PhoneLab-: Service Running
04-23 21:59:44.082  4972  4975 D dalvikvm: GC_CONCURRENT freed 886K, 15% free 9254K/10823K, paused 1ms+6ms
04-23 21:59:44.086  4972  4985 I PhoneLab-LoggerService: app_34    1153  1     1444   1008  c00f1758 400c6794 S logcat
04-23 21:59:44.086  4972  4985 I PhoneLab-LoggerService: Logcat pid from database 1153
04-23 21:59:44.086  4972  4985 I PhoneLab-LoggerService: Logcat process found 1153
04-23 21:59:44.090  4972  4985 I PhoneLab-LoggerService: Checking Threshold
04-23 22:01:00.140   145   147 D dalvikvm: GC_CONCURRENT freed 1596K, 20% free 16023K/19783K, paused 3ms+7ms
04-23 22:01:23.375   270  1041 I EventLogService: Aggregate from 1335231083295 (log), 1335231083295 (data)
04-23 22:01:44.012  4972  4985 I PhoneLab-: Service Running
04-23 22:01:44.070  4972  4985 I PhoneLab-LoggerService: app_34    1153  1     1444   1008  c00f1758 400c6794 S logcat
04-23 22:01:44.070  4972  4985 I PhoneLab-LoggerService: Logcat pid from database 1153
04-23 22:01:44.070  4972  4985 I PhoneLab-LoggerService: Logcat process found 1153
04-23 22:01:44.070  4972  4985 I PhoneLab-LoggerService: Checking Threshold
04-23 22:01:44.578  4972  4972 I PhoneLab-Locks: wake lock acquired
04-23 22:01:44.594  4972  4972 I PhoneLab-StatusMonitor: Status Monitoring is started
04-23 22:01:44.656  4972  4975 D dalvikvm: GC_CONCURRENT freed 458K, 15% free 9295K/10823K, paused 2ms+5ms
04-23 22:01:44.660  4972  4972 I PhoneLab-StatusMonitor: Value: 5 - unit: min
04-23 22:01:44.660  4972  4972 I PhoneLab-StatusMonitor: Running interval: 300000
04-23 22:01:44.672  4972  4972 I PhoneLab-StatusMonitor: Rescheduling status monitoring...
04-23 22:01:44.676  4972  4972 I PhoneLab-Locks: wake lock released
04-23 22:01:44.680  4972  4972 I PhoneLab-StatusMonitorLocation: Learning Location
04-23 22:01:44.680  4972  4972 I PhoneLab-Locks: wake lock acquired
04-23 22:01:44.691  4972  4972 I PhoneLab-Locks: wake lock acquired
04-23 22:01:44.695  4972  4972 I PhoneLab-StatusMonitorLocation: Learning Signal Strgth
04-23 22:01:44.695  4972  4972 I PhoneLab-Locks: wake lock acquired
04-23 22:01:44.699  4972  4972 I PhoneLab-StatusMonitorBattery: Battery_level: 95
04-23 22:01:44.699  4972  4972 I PhoneLab-Locks: wake lock released
04-23 22:01:44.699  4972  4972 I PhoneLab-StatusMonitorSignal: Signal_Strength: -86 asu: 14
04-23 22:01:44.699  4972  4972 I PhoneLab-Locks: wake lock released
04-23 22:03:44.012  4972  4985 I PhoneLab-: Service Running
04-23 22:03:44.058  4972  4985 I PhoneLab-LoggerService: app_34    1153  1     1444   1008  c00f1758 400c6794 S logcat
04-23 22:03:44.062  4972  4985 I PhoneLab-LoggerService: Logcat pid from database 1153
04-23 22:03:44.062  4972  4985 I PhoneLab-LoggerService: Logcat process found 1153
04-23 22:03:44.062  4972  4985 I PhoneLab-LoggerService: Checking Threshold
04-23 22:05:44.012  4972  4985 I PhoneLab-: Service Running
04-23 22:05:44.058  4972  4985 I PhoneLab-LoggerService: app_34    1153  1     1444   1008  c00f1758 400c6794 S logcat
04-23 22:05:44.062  4972  4985 I PhoneLab-LoggerService: Logcat pid from database 1153
04-23 22:05:44.062  4972  4985 I PhoneLab-LoggerService: Logcat process found 1153
04-23 22:05:44.062  4972  4985 I PhoneLab-LoggerService: Checking Threshold
04-23 22:06:44.691  4972  4972 I PhoneLab-Locks: wake lock acquired
04-23 22:06:44.707  4972  4972 I PhoneLab-StatusMonitor: Status Monitoring is started
04-23 22:06:44.750  4972  4975 D dalvikvm: GC_CONCURRENT freed 564K, 15% free 9242K/10823K, paused 2ms+2ms
04-23 22:06:44.765  4972  4972 I PhoneLab-StatusMonitor: Value: 5 - unit: min
04-23 22:06:44.765  4972  4972 I PhoneLab-StatusMonitor: Running interval: 300000
04-23 22:06:44.777  4972  4972 I PhoneLab-StatusMonitor: Rescheduling status monitoring...
04-23 22:06:44.777  4972  4972 I PhoneLab-Locks: wake lock released
04-23 22:06:44.781  4972  4972 I PhoneLab-StatusMonitorLocation: Learning Location
04-23 22:06:44.781  4972  4972 I PhoneLab-Locks: wake lock acquired
04-23 22:06:44.781  4972  4972 I PhoneLab-Locks: wake lock acquired
04-23 22:06:44.785  4972  4972 I PhoneLab-StatusMonitorLocation: Learning Signal Strgth
04-23 22:06:44.785  4972  4972 I PhoneLab-Locks: wake lock acquired
04-23 22:06:44.789  4972  4972 I PhoneLab-StatusMonitorBattery: Battery_level: 95
04-23 22:06:44.789  4972  4972 I PhoneLab-Locks: wake lock released
04-23 22:06:44.793  4972  4972 I PhoneLab-StatusMonitorSignal: Signal_Strength: -86 asu: 14
04-23 22:06:44.793  4972  4972 I PhoneLab-Locks: wake lock released
04-23 22:07:44.012  4972  4985 I PhoneLab-: Service Running
04-23 22:07:44.070  4972  4985 I PhoneLab-LoggerService: app_34    1153  1     1444   1008  c00f1758 400c6794 S logcat
04-23 22:07:44.070  4972  4985 I PhoneLab-LoggerService: Logcat pid from database 1153
04-23 22:07:44.070  4972  4985 I PhoneLab-LoggerService: Logcat process found 1153
04-23 22:07:44.070  4972  4985 I PhoneLab-LoggerService: Checking Threshold
04-23 22:09:12.086 19618  7935 W Gmail   : Successful index run, cancel next scheduled index run
04-23 22:09:44.012  4972  4985 I PhoneLab-: Service Running
04-23 22:09:44.058  4972  4985 I PhoneLab-LoggerService: app_34    1153  1     1444   1008  c00f1758 400c6794 S logcat
04-23 22:09:44.062  4972  4985 I PhoneLab-LoggerService: Logcat pid from database 1153
04-23 22:09:44.062  4972  4985 I PhoneLab-LoggerService: Logcat process found 1153
04-23 22:09:44.062  4972  4985 I PhoneLab-LoggerService: Checking Threshold
04-23 22:11:44.012  4972  4985 I PhoneLab-: Service Running
04-23 22:11:44.074  4972  4985 I PhoneLab-LoggerService: app_34    1153  1     1444   1008  c00f1758 400c6794 S logcat
04-23 22:11:44.074  4972  4985 I PhoneLab-LoggerService: Logcat pid from database 1153
04-23 22:11:44.078  4972  4985 I PhoneLab-LoggerService: Logcat process found 1153
04-23 22:11:44.078  4972  4985 I PhoneLab-LoggerService: Checking Threshold
04-23 22:11:44.797  4972  4972 I PhoneLab-Locks: wake lock acquired
04-23 22:11:44.812  4972  4972 I PhoneLab-StatusMonitor: Status Monitoring is started
04-23 22:11:44.851  4972  4975 D dalvikvm: GC_CONCURRENT freed 518K, 15% free 9236K/10823K, paused 2ms+5ms
04-23 22:11:44.883  4972  4972 I PhoneLab-StatusMonitor: Value: 5 - unit: min
04-23 22:11:44.883  4972  4972 I PhoneLab-StatusMonitor: Running interval: 300000
04-23 22:11:44.890  4972  4972 I PhoneLab-StatusMonitor: Rescheduling status monitoring...
04-23 22:11:44.890  4972  4972 I PhoneLab-Locks: wake lock released
04-23 22:11:44.894  4972  4972 I PhoneLab-StatusMonitorLocation: Learning Location
04-23 22:11:44.894  4972  4972 I PhoneLab-Locks: wake lock acquired
04-23 22:11:44.894  4972  4972 I PhoneLab-Locks: wake lock acquired
04-23 22:11:44.898  4972  4972 I PhoneLab-StatusMonitorLocation: Learning Signal Strgth
04-23 22:11:44.898  4972  4972 I PhoneLab-Locks: wake lock acquired
04-23 22:11:44.906  4972  4972 I PhoneLab-StatusMonitorBattery: Battery_level: 95
04-23 22:11:44.906  4972  4972 I PhoneLab-Locks: wake lock released
04-23 22:11:44.906  4972  4972 I PhoneLab-StatusMonitorSignal: Signal_Strength: -86 asu: 14
04-23 22:11:44.906  4972  4972 I PhoneLab-Locks: wake lock released
04-23 22:13:44.012  4972  4985 I PhoneLab-: Service Running
04-23 22:13:44.074  4972  4975 D dalvikvm: GC_CONCURRENT freed 443K, 15% free 9211K/10823K, paused 2ms+2ms
04-23 22:13:44.078  4972  4985 I PhoneLab-LoggerService: app_34    1153  1     1444   1008  c00f1758 400c6794 S logcat
04-23 22:13:44.078  4972  4985 I PhoneLab-LoggerService: Logcat pid from database 1153
04-23 22:13:44.078  4972  4985 I PhoneLab-LoggerService: Logcat process found 1153
04-23 22:13:44.078  4972  4985 I PhoneLab-LoggerService: Checking Threshold
04-23 22:15:44.012  4972  4985 I PhoneLab-: Service Running
04-23 22:15:44.066  4972  4985 I PhoneLab-LoggerService: app_34    1153  1     1444   1008  c00f1758 400c6794 S logcat
04-23 22:15:44.066  4972  4985 I PhoneLab-LoggerService: Logcat pid from database 1153
04-23 22:15:44.066  4972  4985 I PhoneLab-LoggerService: Logcat process found 1153
04-23 22:15:44.066  4972  4985 I PhoneLab-LoggerService: Checking Threshold
04-23 22:16:44.910  4972  4972 I PhoneLab-Locks: wake lock acquired
04-23 22:16:44.941  4972  4972 I PhoneLab-StatusMonitor: Status Monitoring is started
04-23 22:16:45.000  4972  4975 D dalvikvm: GC_CONCURRENT freed 419K, 15% free 9290K/10823K, paused 2ms+4ms
04-23 22:16:45.004  4972  4972 I PhoneLab-StatusMonitor: Value: 5 - unit: min
04-23 22:16:45.004  4972  4972 I PhoneLab-StatusMonitor: Running interval: 300000
04-23 22:16:45.012  4972  4972 I PhoneLab-StatusMonitor: Rescheduling status monitoring...
04-23 22:16:45.015  4972  4972 I PhoneLab-Locks: wake lock released
04-23 22:16:45.019  4972  4972 I PhoneLab-StatusMonitorLocation: Learning Location
04-23 22:16:45.019  4972  4972 I PhoneLab-Locks: wake lock acquired
04-23 22:16:45.023  4972  4972 I PhoneLab-Locks: wake lock acquired
04-23 22:16:45.027  4972  4972 I PhoneLab-StatusMonitorLocation: Learning Signal Strgth
04-23 22:16:45.027  4972  4972 I PhoneLab-Locks: wake lock acquired
04-23 22:16:45.031  4972  4972 I PhoneLab-StatusMonitorBattery: Battery_level: 95
04-23 22:16:45.031  4972  4972 I PhoneLab-Locks: wake lock released
04-23 22:16:45.035  4972  4972 I PhoneLab-StatusMonitorSignal: Signal_Strength: -86 asu: 14
04-23 22:16:45.035  4972  4972 I PhoneLab-Locks: wake lock released
04-23 22:17:44.012  4972  4985 I PhoneLab-: Service Running
04-23 22:17:44.062  4972  4985 I PhoneLab-LoggerService: app_34    1153  1     1444   1008  c00f1758 400c6794 S logcat
04-23 22:17:44.062  4972  4985 I PhoneLab-LoggerService: Logcat pid from database 1153
04-23 22:17:44.062  4972  4985 I PhoneLab-LoggerService: Logcat process found 1153
04-23 22:17:44.062  4972  4985 I PhoneLab-LoggerService: Checking Threshold
04-23 22:19:44.012  4972  4985 I PhoneLab-: Service Running
04-23 22:19:44.058  4972  4985 I PhoneLab-LoggerService: app_34    1153  1     1444   1008  c00f1758 400c6794 S logcat
04-23 22:19:44.062  4972  4985 I PhoneLab-LoggerService: Logcat pid from database 1153
04-23 22:19:44.062  4972  4985 I PhoneLab-LoggerService: Logcat process found 1153
04-23 22:19:44.062  4972  4985 I PhoneLab-LoggerService: Checking Threshold
04-23 22:21:44.012  4972  4985 I PhoneLab-: Service Running
04-23 22:21:44.058  4972  4985 I PhoneLab-LoggerService: app_34    1153  1     1444   1008  c00f1758 400c6794 S logcat
04-23 22:21:44.062  4972  4985 I PhoneLab-LoggerService: Logcat pid from database 1153
04-23 22:21:44.062  4972  4985 I PhoneLab-LoggerService: Logcat process found 1153
04-23 22:21:44.062  4972  4985 I PhoneLab-LoggerService: Checking Threshold
04-23 22:21:45.035  4972  4972 I PhoneLab-Locks: wake lock acquired
04-23 22:21:45.055  4972  4972 I PhoneLab-StatusMonitor: Status Monitoring is started
04-23 22:21:45.101  4972  4975 D dalvikvm: GC_CONCURRENT freed 544K, 15% free 9257K/10823K, paused 2ms+5ms
04-23 22:21:45.125  4972  4972 I PhoneLab-StatusMonitor: Value: 5 - unit: min
04-23 22:21:45.125  4972  4972 I PhoneLab-StatusMonitor: Running interval: 300000
04-23 22:21:45.133  4972  4972 I PhoneLab-StatusMonitor: Rescheduling status monitoring...
04-23 22:21:45.133  4972  4972 I PhoneLab-Locks: wake lock released
04-23 22:21:45.137  4972  4972 I PhoneLab-StatusMonitorLocation: Learning Location
04-23 22:21:45.137  4972  4972 I PhoneLab-Locks: wake lock acquired
04-23 22:21:45.137  4972  4972 I PhoneLab-Locks: wake lock acquired
04-23 22:21:45.140  4972  4972 I PhoneLab-StatusMonitorLocation: Learning Signal Strgth
04-23 22:21:45.140  4972  4972 I PhoneLab-Locks: wake lock acquired
04-23 22:21:45.144  4972  4972 I PhoneLab-StatusMonitorBattery: Battery_level: 95
04-23 22:21:45.144  4972  4972 I PhoneLab-Locks: wake lock released
04-23 22:21:45.148  4972  4972 I PhoneLab-StatusMonitorSignal: Signal_Strength: -86 asu: 14
04-23 22:21:45.148  4972  4972 I PhoneLab-Locks: wake lock released
04-23 22:23:44.012  4972  4985 I PhoneLab-: Service Running
04-23 22:23:44.058  4972  4985 I PhoneLab-LoggerService: app_34    1153  1     1444   1008  c00f1758 400c6794 S logcat
04-23 22:23:44.058  4972  4985 I PhoneLab-LoggerService: Logcat pid from database 1153
04-23 22:23:44.062  4972  4985 I PhoneLab-LoggerService: Logcat process found 1153
04-23 22:23:44.062  4972  4985 I PhoneLab-LoggerService: Checking Threshold
04-23 22:24:32.742   145   147 D dalvikvm: GC_CONCURRENT freed 1733K, 19% free 16043K/19783K, paused 21ms+7ms
04-23 22:25:00.105   215   217 D dalvikvm: GC_CONCURRENT freed 383K, 19% free 9661K/11783K, paused 1ms+2ms
04-23 22:25:44.012  4972  4985 I PhoneLab-: Service Running
04-23 22:25:44.070  4972  4985 I PhoneLab-LoggerService: app_34    1153  1     1444   1008  c00f1758 400c6794 S logcat
04-23 22:25:44.070  4972  4985 I PhoneLab-LoggerService: Logcat pid from database 1153
04-23 22:25:44.070  4972  4985 I PhoneLab-LoggerService: Logcat process found 1153
04-23 22:25:44.070  4972  4985 I PhoneLab-LoggerService: Checking Threshold
04-23 22:26:45.156  4972  4972 I PhoneLab-Locks: wake lock acquired
04-23 22:26:45.176  4972  4972 I PhoneLab-StatusMonitor: Status Monitoring is started
04-23 22:26:45.223  4972  4975 D dalvikvm: GC_CONCURRENT freed 522K, 15% free 9247K/10823K, paused 2ms+5ms
04-23 22:26:45.246  4972  4972 I PhoneLab-StatusMonitor: Value: 5 - unit: min
04-23 22:26:45.246  4972  4972 I PhoneLab-StatusMonitor: Running interval: 300000
04-23 22:26:45.254  4972  4972 I PhoneLab-StatusMonitor: Rescheduling status monitoring...
04-23 22:26:45.254  4972  4972 I PhoneLab-Locks: wake lock released
04-23 22:26:45.258  4972  4972 I PhoneLab-StatusMonitorLocation: Learning Location
04-23 22:26:45.258  4972  4972 I PhoneLab-Locks: wake lock acquired
04-23 22:26:45.258  4972  4972 I PhoneLab-Locks: wake lock acquired
04-23 22:26:45.262  4972  4972 I PhoneLab-StatusMonitorLocation: Learning Signal Strgth
04-23 22:26:45.262  4972  4972 I PhoneLab-Locks: wake lock acquired
04-23 22:26:45.269  4972  4972 I PhoneLab-StatusMonitorBattery: Battery_level: 95
04-23 22:26:45.269  4972  4972 I PhoneLab-Locks: wake lock released
04-23 22:26:45.269  4972  4972 I PhoneLab-StatusMonitorSignal: Signal_Strength: -86 asu: 14
04-23 22:26:45.269  4972  4972 I PhoneLab-Locks: wake lock released
04-23 22:27:06.508  4972  4972 I PhoneLab-Locks: wake lock acquired
04-23 22:27:06.519  4972  4975 D dalvikvm: GC_CONCURRENT freed 451K, 16% free 9180K/10823K, paused 1ms+2ms
04-23 22:27:06.598   145  8981 D dalvikvm: GC_EXPLICIT freed 341K, 20% free 15937K/19783K, paused 3ms+6ms
04-23 22:27:06.605  4972  8002 I PhoneLab-PeriodicCheckService: User info is synched
04-23 22:27:06.605  4972  8002 I PhoneLab-PeriodicCheckService: Logger Service is running
04-23 22:27:06.605  4972  8002 I PhoneLab-Locks: wake lock acquired
04-23 22:27:06.609  4972  4972 I PhoneLab-UploadLogs: Transfering log files now
04-23 22:27:06.609  4972  4972 I PhoneLab-UploadLogs: No log files to transfer
04-23 22:27:06.609  4972  4972 I PhoneLab-Locks: wake lock released
04-23 22:27:06.609  4972  4972 I PhoneLab-UploadLogs: OnStartCommand
04-23 22:27:06.613  4972  8002 I PhoneLab-PeriodicCheckService: Rescheduling periodic checking...
04-23 22:27:06.613  4972  8002 I PhoneLab-Locks: wake lock released
04-23 22:27:44.012  4972  4985 I PhoneLab-: Service Running
04-23 22:27:44.058  4972  4985 I PhoneLab-LoggerService: app_34    1153  1     1444   1008  c00f1758 400c6794 S logcat
04-23 22:27:44.058  4972  4985 I PhoneLab-LoggerService: Logcat pid from database 1153
04-23 22:27:44.062  4972  4985 I PhoneLab-LoggerService: Logcat process found 1153
04-23 22:27:44.062  4972  4985 I PhoneLab-LoggerService: Checking Threshold
04-23 22:29:30.980 19618  8005 I Gmail   : MainSyncRequestProto: lowestBkwdConvoId: 0, highestHandledServerOp: 2507407, normalSync: true
04-23 22:29:32.316 19618 19620 D dalvikvm: GC_CONCURRENT freed 350K, 11% free 9808K/10951K, paused 1ms+2ms
04-23 22:29:33.281 19618 19620 D dalvikvm: GC_CONCURRENT freed 446K, 11% free 9781K/10951K, paused 2ms+3ms
04-23 22:29:33.398 19618  8005 D dalvikvm: GC_EXPLICIT freed 76K, 12% free 9743K/10951K, paused 1ms+2ms
04-23 22:29:33.402 19618  8005 I Gmail   : MainSyncRequestProto: lowestBkwdConvoId: 0, highestHandledServerOp: 2507470, normalSync: true
04-23 22:29:33.414 19618  8005 W Gmail   : Scheduling index for 300000 ms from now
04-23 22:29:33.433 19618  8005 I Gmail   : Sending notification intent: Intent { act=android.intent.action.PROVIDER_CHANGED dat=content://gmail-ls/unread/^i (has extras) }
04-23 22:29:33.457 19618  8005 I Gmail   : Sending notification intent: Intent { act=android.intent.action.PROVIDER_CHANGED dat=content://gmail-ls/unread/^iim (has extras) }
04-23 22:29:44.012  4972  4985 I PhoneLab-: Service Running
04-23 22:29:44.078  4972  4985 I PhoneLab-LoggerService: app_34    1153  1     1444   1008  c00f1758 400c6794 S logcat
04-23 22:29:44.078  4972  4985 I PhoneLab-LoggerService: Logcat pid from database 1153
04-23 22:29:44.078  4972  4985 I PhoneLab-LoggerService: Logcat process found 1153
04-23 22:29:44.078  4972  4985 I PhoneLab-LoggerService: Checking Threshold
04-23 22:29:56.187 19618  8013 I Gmail   : MainSyncRequestProto: lowestBkwdConvoId: 0, highestHandledServerOp: 2507470, normalSync: true
