06-27 17:30:14.722 11775 11789 D PicasaPhotoCP: set fsid first time:-1
06-27 17:30:14.867 11775 11794 D PicasaSync: sync account database
06-27 17:30:14.917 11795 11795 I ActivityThread: Pub com.google.android.apps.docs.files: com.google.android.apps.docs.sync.filemanager.FileProvider
06-27 17:30:14.925 11795 11795 I ActivityThread: Pub com.google.android.apps.docs.doclist.search_suggest: com.google.android.apps.docs.doclist.DocListGlobalSearchSuggestionProvider
06-27 17:30:14.996 11795 11795 V /ContextScope.java:112: 17:30:14.997 main Contexts in the main scope map after inserting com.google.android.apps.docs.editors.EditorsApplication@4135dc30: com.google.android.apps.docs.editors.EditorsApplication@4135dc30
06-27 17:30:15.101 11795 11797 D dalvikvm: GC_CONCURRENT freed 226K, 4% free 9310K/9607K, paused 6ms+2ms
06-27 17:30:15.281 11795 11797 D dalvikvm: GC_CONCURRENT freed 500K, 6% free 9355K/9927K, paused 1ms+2ms
06-27 17:30:15.320   310   310 D wpa_supplicant: EAPOL: Supplicant port status: Unauthorized
06-27 17:30:15.449 11795 11797 D dalvikvm: GC_CONCURRENT freed 539K, 7% free 9378K/9991K, paused 2ms+6ms
06-27 17:30:15.550 11775 11794 D PicasaSync: accounts in DB=1
06-27 17:30:15.566 11795 11797 D dalvikvm: GC_CONCURRENT freed 472K, 6% free 9417K/9991K, paused 2ms+3ms
06-27 17:30:15.718  5975  5976 D dalvikvm: GC_CONCURRENT freed 1925K, 26% free 17896K/24071K, paused 9ms+5ms
06-27 17:30:15.746 11795 11797 D dalvikvm: GC_CONCURRENT freed 544K, 7% free 9436K/10055K, paused 2ms+3ms
06-27 17:30:15.812 11775 11794 D PicasaSyncManager: active network: NetworkInfo: type: mobile[CDMA - EvDo rev. A], state: CONNECTED/CONNECTED, reason: (unspecified), extra: , roaming: false, failover: true, isAvailable: true
06-27 17:30:15.875 11795 11797 D dalvikvm: GC_CONCURRENT freed 469K, 6% free 9478K/10055K, paused 2ms+6ms
06-27 17:30:15.968 11775 11794 D PicasaSyncManager: background data: true
06-27 17:30:15.992   142   173 I power   : *** set_screen_state 1
06-27 17:30:16.066 11795 11797 D dalvikvm: GC_CONCURRENT freed 539K, 7% free 9505K/10119K, paused 1ms+5ms
06-27 17:30:16.101   142   173 I WindowManager: Lock screen displayed!
06-27 17:30:16.183    79   119 D SurfaceFlinger: Screen about to return, flinger = 0xf1b918
06-27 17:30:16.320   310   310 D wpa_supplicant: EAPOL: Supplicant port status: Unauthorized
06-27 17:30:16.332 11795 11797 D dalvikvm: GC_CONCURRENT freed 425K, 6% free 9591K/10119K, paused 2ms+3ms
06-27 17:30:16.500   142   158 I Process : Sending signal. PID: 5975 SIG: 3
06-27 17:30:16.500  5975  5977 I dalvikvm: threadid=3: reacting to signal 3
06-27 17:30:16.566  5975  5977 I dalvikvm: Wrote stack traces to '/data/anr/traces.txt'
06-27 17:30:16.609 11795 11797 D dalvikvm: GC_CONCURRENT freed 440K, 6% free 9673K/10183K, paused 1ms+3ms
06-27 17:30:17.000   142   158 I Process : Sending signal. PID: 5975 SIG: 3
06-27 17:30:17.000  5975  5977 I dalvikvm: threadid=3: reacting to signal 3
06-27 17:30:17.066  5975  5977 I dalvikvm: Wrote stack traces to '/data/anr/traces.txt'
06-27 17:30:17.093 11795 11797 D dalvikvm: GC_CONCURRENT freed 503K, 6% free 9759K/10311K, paused 3ms+13ms
06-27 17:30:17.132   212   212 D PhoneStatusBar: disable: < expand icons alerts ticker system_info BACK HOME recent* CLOCK >
06-27 17:30:17.144    82   122 D AudioHardware: AudioHardware pcm playback is exiting standby.
06-27 17:30:17.144    82   122 D AudioHardware: openPcmOut_l() mPcmOpenCnt: 0
06-27 17:30:17.238   212   212 D PhoneStatusBar: disable: < expand icons alerts ticker system_info back* home* recent clock* >
06-27 17:30:17.242   212   212 V PhoneStatusBar: setLightsOn(true)
06-27 17:30:17.320   368  1299 D NfcService: NFC-C ON
06-27 17:30:17.320   310   310 D wpa_supplicant: EAPOL: Supplicant port status: Unauthorized
06-27 17:30:17.500   142   158 I Process : Sending signal. PID: 5975 SIG: 3
06-27 17:30:17.500  5975  5977 I dalvikvm: threadid=3: reacting to signal 3
06-27 17:30:17.578  5975  5977 I dalvikvm: Wrote stack traces to '/data/anr/traces.txt'
06-27 17:30:17.671 11795 11797 D dalvikvm: GC_CONCURRENT freed 511K, 6% free 9789K/10375K, paused 7ms+3ms
06-27 17:30:17.894 11795 11797 D dalvikvm: GC_CONCURRENT freed 524K, 6% free 9772K/10375K, paused 2ms+3ms
06-27 17:30:17.929 11795 11795 D /Ln.java:220: 17:30:17.934 main Configuring Logging, minimum log level is INFO
06-27 17:30:17.968 11795 11795 D DocListDatabase: openHelper points on new database: DocList.db
06-27 17:30:17.968 11795 11795 D DocListDatabase: in openWriteDatabase
06-27 17:30:18.000   142   158 I Process : Sending signal. PID: 5975 SIG: 3
06-27 17:30:18.000  5975  5977 I dalvikvm: threadid=3: reacting to signal 3
06-27 17:30:18.031  5975  5977 I dalvikvm: Wrote stack traces to '/data/anr/traces.txt'
06-27 17:30:18.066   310   310 I wpa_supplicant: wlan0: Authentication with 58:35:d9:38:bc:11 timed out.
06-27 17:30:18.066   310   310 D wpa_supplicant: Added BSSID 58:35:d9:38:bc:11 into blacklist
06-27 17:30:18.066   310   310 D wpa_supplicant: wpa_driver_wext_set_operstate: operstate 0->0 (DORMANT)
06-27 17:30:18.066   310   310 D wpa_supplicant: netlink: Operstate: linkmode=-1, operstate=5
06-27 17:30:18.066   310   310 D wpa_supplicant: EAPOL: External notification - portEnabled=0
06-27 17:30:18.066   310   310 D wpa_supplicant: EAPOL: Supplicant port status: Unauthorized
06-27 17:30:18.066   310   310 D wpa_supplicant: EAPOL: External notification - portValid=0
06-27 17:30:18.066   310   310 D wpa_supplicant: EAPOL: Supplicant port status: Unauthorized
06-27 17:30:18.078 11795 11795 W ND      : Could not load Finalizer in its own class loader. Loading Finalizer in the current class loader instead. As a result, you will not be able to garbage collect this class loader. To support reclaiming this class loader, either resolve the underlying issue, or move Google Collections to your system class path.
06-27 17:30:18.078 11795 11795 W ND      : java.io.FileNotFoundException: com/google/inject/internal/Finalizer.class
06-27 17:30:18.078 11795 11795 W ND      : 	at NE.a(FinalizableReferenceQueue.java:269)
06-27 17:30:18.109 11795 11795 I ND      : 	at OX.a(MapMaker.java:419)
06-27 17:30:18.109 11795 11795 I ND      : 	at Nb.get(CustomConcurrentHashMap.java:2029)
06-27 17:30:18.109 11795 11795 I ND      : 	at MM.a(BytecodeGen.java:149)
06-27 17:30:18.109 11795 11795 I ND      : 	at MM.a(BytecodeGen.java:132)
06-27 17:30:18.109 11795 11795 I ND      : 	at MX.a(ConstructionContext.java:80)
06-27 17:30:18.109 11795 11795 I ND      : 	at KG.a(ConstructorInjector.java:70)
06-27 17:30:18.109 11795 11795 I ND      : 	at KF.a(ConstructorBindingImpl.java:111)
06-27 17:30:18.109 11795 11795 I ND      : 	at LU.a(ProviderToInternalFactoryAdapter.java:45)
06-27 17:30:18.109 11795 11795 I ND      : 	at Li.a(InjectorImpl.java:811)
06-27 17:30:18.109 11795 11795 I ND      : 	at LT.a(ProviderToInternalFactoryAdapter.java:42)
06-27 17:30:18.109 11795 11795 I ND      : 	at Mc.a(Scopes.java:54)
06-27 17:30:18.109 11795 11795 I ND      : 	at Lz.a(InternalFactoryToProviderAdapter.java:48)
06-27 17:30:18.109 11795 11795 I ND      : 	at KR.a(FactoryProxy.java:56)
06-27 17:30:18.109 11795 11795 I ND      : 	at Mi.a(SingleParameterInjector.java:42)
06-27 17:30:18.109 11795 11795 I ND      : 	at Mi.a(SingleParameterInjector.java:66)
06-27 17:30:18.109 11795 11795 I ND      : 	at KG.a(ConstructorInjector.java:84)
06-27 17:30:18.109 11795 11795 I ND      : 	at KF.a(ConstructorBindingImpl.java:111)
06-27 17:30:18.109 11795 11795 I ND      : 	at KR.a(FactoryProxy.java:56)
06-27 17:30:18.109 11795 11795 I ND      : 	at Mi.a(SingleParameterInjector.java:42)
06-27 17:30:18.109 11795 11795 I ND      : 	at Mi.a(SingleParameterInjector.java:66)
06-27 17:30:18.109 11795 11795 I ND      : 	at KG.a(ConstructorInjector.java:84)
06-27 17:30:18.109 11795 11795 I ND      : 	at KF.a(ConstructorBindingImpl.java:111)
06-27 17:30:18.109 11795 11795 I ND      : 	at LU.a(ProviderToInternalFactoryAdapter.java:45)
06-27 17:30:18.109 11795 11795 I ND      : 	at Li.a(InjectorImpl.java:811)
06-27 17:30:18.109 11795 11795 I ND      : 	at LT.a(ProviderToInternalFactoryAdapter.java:42)
06-27 17:30:18.109 11795 11795 I ND      : 	at Mc.a(Scopes.java:54)
06-27 17:30:18.109 11795 11795 I ND      : 	at Lz.a(InternalFactoryToProviderAdapter.java:48)
06-27 17:30:18.109 11795 11795 I ND      : 	at Lg.a(InjectorBuilder.java:200)
06-27 17:30:18.109 11795 11795 I ND      : 	at Lg.a(InjectorBuilder.java:194)
06-27 17:30:18.109 11795 11795 I ND      : 	at Li.a(InjectorImpl.java:804)
06-27 17:30:18.109 11795 11795 I ND      : 	at Lf.a(InjectorBuilder.java:194)
06-27 17:30:18.109 11795 11795 I ND      : 	at Lf.b(InjectorBuilder.java:176)
06-27 17:30:18.109 11795 11795 I ND      : 	at Lf.a(InjectorBuilder.java:113)
06-27 17:30:18.109 11795 11795 I ND      : 	at KS.a(Guice.java:92)
06-27 17:30:18.109 11795 11795 I ND      : 	at roboguice.application.RoboApplication.b(RoboApplication.java:146)
06-27 17:30:18.109 11795 11795 I ND      : 	at roboguice.application.RoboApplication.a(RoboApplication.java:84)
06-27 17:30:18.109 11795 11795 I ND      : 	at com.google.android.apps.docs.GuiceContentProvider.a(GuiceContentProvider.java:36)
06-27 17:30:18.109 11795 11795 I ND      : 	at com.google.android.apps.docs.GuiceContentProvider.onCreate(GuiceContentProvider.java:27)
06-27 17:30:18.109 11795 11795 I ND      : 	at com.google.android.apps.docs.doclist.BaseSearchSuggestionProvider.onCreate(BaseSearchSuggestionProvider.java:88)
06-27 17:30:18.109 11795 11795 I ND      : 	at android.content.ContentProvider.attachInfo(ContentProvider.java:944)
06-27 17:30:18.109 11795 11795 I ND      : 	at android.app.ActivityThread.installProvider(ActivityThread.java:4237)
06-27 17:30:18.109 11795 11795 I ND      : 	at android.app.ActivityThread.installContentProviders(ActivityThread.java:3992)
06-27 17:30:18.109 11795 11795 I ND      : 	at android.app.ActivityThread.handleBindApplication(ActivityThread.java:3946)
06-27 17:30:18.109 11795 11795 I ND      : 	at android.app.ActivityThread.access$1300(ActivityThread.java:123)
06-27 17:30:18.109 11795 11795 I ND      : 	at android.app.ActivityThread$H.handleMessage(ActivityThread.java:1185)
06-27 17:30:18.109 11795 11795 I ND      : 	at android.os.Handler.dispatchMessage(Handler.java:99)
06-27 17:30:18.109 11795 11795 I ND      : 	at android.os.Looper.loop(Looper.java:137)
06-27 17:30:18.109 11795 11795 I ND      : 	at android.app.ActivityThread.main(ActivityThread.java:4424)
06-27 17:30:18.109 11795 11795 I ND      : 	at java.lang.reflect.Method.invokeNative(Native Method)
06-27 17:30:18.109 11795 11795 I ND      : 	at java.lang.reflect.Method.invoke(Method.java:511)
06-27 17:30:18.109 11795 11795 I ND      : 	at com.android.internal.os.ZygoteInit$MethodAndArgsCaller.run(ZygoteInit.java:784)
06-27 17:30:18.109 11795 11795 I ND      : 	at com.android.internal.os.ZygoteInit.main(ZygoteInit.java:551)
06-27 17:30:18.109 11795 11795 I ND      : 	at dalvik.system.NativeStart.main(Native Method)
06-27 17:30:18.109 11795 11795 I ND      : Caused by: java.lang.IllegalArgumentException: Expected com.google.inject.internal.FinalizableReference.
06-27 17:30:18.109 11795 11795 I ND      : 	at NK.startFinalizer(Finalizer.java:77)
06-27 17:30:18.109 11795 11795 I ND      : 	... 60 more
06-27 17:30:18.187 11795 11797 D dalvikvm: GC_CONCURRENT freed 481K, 6% free 9802K/10375K, paused 2ms+3ms
06-27 17:30:18.242 11795 11795 I ActivityThread: Pub com.google.android.apps.docs.doclist.account_suggest: com.google.android.apps.docs.doclist.DocListAccountSuggestionProvider
06-27 17:30:18.257 11795 11795 I ActivityThread: Pub com.google.android.apps.docs: com.google.android.apps.docs.providers.DocListProvider
06-27 17:30:18.320   310   310 D wpa_supplicant: EAPOL: Supplicant port status: Unauthorized
06-27 17:30:18.406   310   310 D wpa_supplicant: wpa_driver_wext_driver_cmd SETSUSPENDOPT 0 len = 4096
06-27 17:30:18.406   310   310 D wpa_supplicant: wpa_driver_wext_driver_cmd SETSUSPENDOPT 0 len = 0, 15
06-27 17:30:18.437   310   310 D wpa_supplicant: wpa_driver_wext_driver_cmd POWERMODE 0 len = 4096
06-27 17:30:18.449   310   310 D wpa_supplicant: wpa_driver_wext_driver_cmd OK len = 0, 2
06-27 17:30:18.500   142   158 I Process : Sending signal. PID: 5975 SIG: 3
06-27 17:30:18.500  5975  5977 I dalvikvm: threadid=3: reacting to signal 3
06-27 17:30:18.539  5975  5977 I dalvikvm: Wrote stack traces to '/data/anr/traces.txt'
06-27 17:30:18.734 11775 11778 D dalvikvm: GC_CONCURRENT freed 267K, 4% free 9728K/10119K, paused 133ms+52ms
06-27 17:30:18.828   142   142 I ActivityManager: Process com.android.calendar (pid 11609) has died.
06-27 17:30:18.882 11775 11794 D PicasaSyncManager: battery info: false
06-27 17:30:19.000   142   158 I Process : Sending signal. PID: 5975 SIG: 3
06-27 17:30:19.000  5975  5977 I dalvikvm: threadid=3: reacting to signal 3
06-27 17:30:19.011  5975  5977 I dalvikvm: Wrote stack traces to '/data/anr/traces.txt'
06-27 17:30:19.074   310   310 D wpa_supplicant: WPS: Building WPS IE for Probe Request
06-27 17:30:19.074   310   310 D wpa_supplicant: WPS:  * Version (hardcoded 0x10)
06-27 17:30:19.074   310   310 D wpa_supplicant: WPS:  * Request Type
06-27 17:30:19.074   310   310 D wpa_supplicant: WPS:  * Config Methods (2388)
06-27 17:30:19.074   310   310 D wpa_supplicant: WPS:  * UUID-E
06-27 17:30:19.074   310   310 D wpa_supplicant: WPS:  * Primary Device Type
06-27 17:30:19.074   310   310 D wpa_supplicant: WPS:  * RF Bands (3)
06-27 17:30:19.074   310   310 D wpa_supplicant: WPS:  * Association State
06-27 17:30:19.074   310   310 D wpa_supplicant: WPS:  * Configuration Error (0)
06-27 17:30:19.074   310   310 D wpa_supplicant: WPS:  * Device Password ID (0)
06-27 17:30:19.074   310   310 D wpa_supplicant: WPS:  * Manufacturer
06-27 17:30:19.074   310   310 D wpa_supplicant: WPS:  * Model Name
06-27 17:30:19.074   310   310 D wpa_supplicant: WPS:  * Model Number
